update,episodes,frames,FPS,duration,return_mean,return_std,return_min,return_max,success_rate,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,loss,grad_norm
840,6263,1075200,746.8045383248749,2358,0.15473437681794167,0.325128721025613,0.0,0.9639999866485596,0.1875,184.9375,95.28868554949219,4.0,300.0,1.6948136746883393,0.580831578373909,0.2280421920120716,0.10380821526050568,0.26299819350242615,nan,1.0901024341583252
850,6339,1088000,742.1690453812092,2375,0.26609375327825546,0.39693510789058745,0.0,0.9190000295639038,0.3125,127.875,84.66099677537467,9.0,300.0,1.6899879574775696,0.5679236114025116,0.019689156487584115,1.7713217873126268,0.8884503245353699,nan,1.018534541130066
860,6409,1100800,744.4901581638483,2393,0.14874999970197678,0.27060435805930855,0.0,0.7795000076293945,0.25,158.75,94.1438394160765,46.0,400.0,1.7317560970783235,0.41435699015855787,-0.10408708564937115,2.96830894947052,1.362749695777893,nan,0.3764103651046753
870,6479,1113600,731.3819385600436,2410,0.22981249913573265,0.35493260040473035,0.0,0.9819999933242798,0.3125,198.375,118.36853203026554,4.0,400.0,1.7497392654418946,0.5114065617322922,-0.006903083063662052,2.397035700082779,1.1741173267364502,nan,1.6836141347885132
880,6551,1126400,770.6277346278781,2428,0.2619374953210354,0.3652600836320814,0.0,0.9729999899864197,0.375,146.25,94.48445639363122,3.0,300.0,1.7029408812522888,0.4890432894229889,-0.08805799651890993,1.498890931904316,0.6443580389022827,nan,0.5854195356369019
890,6623,1139200,740.049199603558,2445,0.12731250189244747,0.29188133967191876,0.0,0.9909999966621399,0.1875,208.5,110.03919756159621,1.0,400.0,1.672438418865204,0.830157533288002,0.2118844512850046,0.36147904619574545,0.3758995831012726,nan,1.3106907606124878
900,6693,1152000,717.521136880219,2462,0.12281249836087227,0.26253885572263147,0.0,0.8379999995231628,0.1875,170.8125,105.84612578526433,36.0,400.0,1.6974927127361297,0.7779074877500534,0.2619003921747208,0.8401720486581326,0.6650113463401794,nan,1.1151829957962036
910,6774,1164800,728.4010560962969,2591,0.1789843738079071,0.32884841902058093,0.0,0.9729999899864197,0.25,212.1875,118.30744838660836,3.0,400.0,1.722575706243515,0.7626874715089798,-0.10049276389181613,2.600990962982178,1.1827771663665771,nan,0.5815514922142029
920,6858,1177600,768.6832611403903,2608,0.28196875005960464,0.3357222839747602,0.0,0.8289999961853027,0.4375,137.625,99.95303584684159,19.0,400.0,1.6763950645923615,0.5707528561353683,-0.36223914548754693,4.07399001121521,1.6579920053482056,nan,2.5527737140655518
930,6944,1190400,724.597443998904,2626,0.4153437502682209,0.42809821937120784,0.0,0.9729999899864197,0.5,117.8125,115.95377244294383,3.0,400.0,1.5723610401153565,1.846419620513916,-0.5676192760467529,10.825343227386474,4.829328536987305,nan,5.35475492477417
940,7022,1203200,746.6163499621734,2643,0.2064687479287386,0.33349102219296434,0.0,0.9729999899864197,0.3125,146.125,98.94561321756514,3.0,400.0,1.7634524881839753,0.12928443551063537,0.07533333487808705,0.07408324480056763,0.09474044293165207,nan,0.665921688079834
950,7111,1216000,757.8119798935336,2661,0.3067031241953373,0.40831457249766984,0.0,0.9955000281333923,0.375,133.0,83.51047838445186,1.0,300.0,1.6926855742931366,0.5692138999700547,-0.29465562887489793,4.954070425033569,2.1654529571533203,nan,0.8035624027252197
960,7195,1228800,696.8429086389319,2678,0.2760312519967556,0.41471166647540253,0.0,0.9909999966621399,0.3125,144.8125,103.32607291361653,1.0,300.0,1.8061060190200806,0.627456185221672,0.2207879416644573,1.0088380720466374,0.7071459293365479,nan,0.9849558472633362
970,7268,1241600,713.40999351664,2696,0.34306249767541885,0.3980984023070447,0.0,0.9729999899864197,0.5,143.125,112.88095222401341,3.0,300.0,1.8133034825325012,0.39571950733661654,0.03903240105137229,0.3015678361058235,0.17168326675891876,nan,0.589434027671814
980,7339,1254400,733.8510692334211,2713,0.10343749821186066,0.27373206514503395,0.0,0.843999981880188,0.125,238.4375,108.11855110826264,52.0,400.0,1.7843395113945006,0.3889528974890709,-0.26369171887636184,4.472509062290191,1.9547194242477417,nan,1.1346359252929688
990,7427,1267200,762.1997062908947,2730,0.21725000068545341,0.3516261320194443,0.0,0.9729999899864197,0.3125,138.6875,84.34728711553205,3.0,300.0,1.7886158347129821,0.5601729065179825,0.13525911457836629,1.683106069266796,0.9589258432388306,nan,0.8384583592414856
1000,7511,1280000,741.9823653202783,2748,0.306937500834465,0.4003810266535389,0.0,0.9955000281333923,0.375,123.625,87.85063673645172,1.0,300.0,1.778484058380127,0.7664160102605819,-0.5760565936565399,7.132274413108826,2.9722957611083984,nan,2.0734102725982666
1010,7587,1292800,726.647076315341,2884,0.26524999737739563,0.40774033972892026,0.0,0.9909999966621399,0.3125,137.8125,103.3811024498675,1.0,300.0,1.7560595095157623,0.22114703729748725,0.09503899682313204,0.8502650341019035,0.5026108622550964,nan,0.325734943151474
1020,7666,1305600,750.473858568621,2902,0.25184375047683716,0.38229707701075083,0.0,0.9819999933242798,0.3125,177.625,134.69775193001553,4.0,400.0,1.6838569641113281,1.3011372625827788,-0.4149831682443619,9.359234046936034,4.247795104980469,nan,2.234013080596924
1030,7748,1318400,758.2394502755669,2919,0.3765937518328428,0.40810389661519336,0.0,0.9909999966621399,0.5625,99.9375,74.26344049227723,1.0,200.0,1.7281875729560852,0.8583949983119965,-0.3762295350432396,4.920964956283569,2.0669713020324707,nan,0.5231406092643738
